2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/32 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/32 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/32/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1703
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1769
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/37 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/37 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/37/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1674
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1728
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/42 HTTP/1.1" 200 454
